kp,ki,kd,score,baseline_overshoot,baseline_settle,baseline_iae,baseline_bias,x_ref_only_overshoot,x_ref_only_settle,x_ref_only_iae,x_ref_only_bias,x_meas_only_overshoot,x_meas_only_settle,x_meas_only_iae,x_meas_only_bias,mixed_all_overshoot,mixed_all_settle,mixed_all_iae,mixed_all_bias
2.8895,0.5092,0.2182,558.3373,7.39,8.0,4.02,0.0463,9.24,8.9,4.26,-0.0083,13.35,-1,6.551,0.0239,0.0,-1,235.386,-18.9589
2.5065,0.4194,0.061,558.5244,8.86,8.08,4.15,0.0464,10.2,8.88,4.273,-0.006,11.61,-1,5.912,0.0268,0.0,-1,234.942,-18.9499
2.2037,0.4587,0.1433,558.5959,9.37,8.6,4.79,0.0442,11.22,8.120000000000001,4.814,-0.0111,13.24,9.36,6.284,0.0226,0.0,-1,235.082,-18.9699
2.9484,0.518,0.174,558.7672,7.95,7.640000000000001,3.892,0.0463,9.66,8.9,4.182,-0.0098,13.14,-1,6.466,0.0222,0.0,-1,235.429,-18.9607
2.7285,0.422,0.0578,558.9465,9.02,7.640000000000001,3.882,0.047,10.18,8.9,4.118,-0.0055,12.24,-1,6.001,0.027,0.0,-1,235.006,-18.9443
2.8948,0.5306,0.203,559.1295,7.79,7.82,4.003,0.0461,9.51,8.9,4.258,-0.0105,13.29,-1,6.518,0.0216,0.0,-1,235.463,-18.9638
2.564,0.4439,0.0567,559.9968,9.3,7.86,4.094,0.0464,10.63,8.88,4.252,-0.0085,11.7,-1,5.94,0.0244,0.0,-1,235.077,-18.9555
2.7607,0.5043,0.1199,560.2787,8.81,7.66,4.004,0.0461,10.34,8.88,4.236,-0.0111,12.53,-1,6.209,0.0216,0.0,-1,235.362,-18.9639
1.9428,0.566,0.21,560.5307,13.07,7.9,5.429,0.0392,14.96,8.1,5.512,-0.0235,16.5,1.06,6.907,0.01,0.0,-1,235.517,-18.9973
1.9694,0.4203,0.0224,560.5666,10.66,8.48,4.915,0.0442,11.58,8.120000000000001,4.904,-0.0129,12.79,9.44,6.06,0.0217,0.0,-1,234.856,-18.9721
2.0265,0.3479,0.1141,560.9113,8.23,9.66,4.977,0.047,10.2,8.16,4.891,0.002,11.78,-1,6.171,0.0359,0.0,-1,234.367,-18.9394
2.1671,0.4798,0.0212,561.0361,11.13,7.88,4.604,0.0446,11.96,8.52,4.663,-0.0167,12.64,9.42,5.99,0.017,0.0,-1,235.198,-18.9788
1.5417,0.2394,0.0259,561.3911,8.6,11.28,5.826,0.054,9.92,8.98,5.576,0.0183,11.0,10.38,6.522,0.0538,0.0,-1,232.976,-18.9001
2.619,0.5223,0.1676,561.7198,8.64,7.98,4.262,0.0453,10.07,8.88,4.424,-0.0125,13.02,-1,6.308,0.0202,0.0,-1,235.409,-18.9706
1.4751,0.1323,0.0567,562.3066,5.46,14.16,5.884,0.0857,6.1,9.040000000000001,5.497,0.0576,9.69,15.34,6.54,0.0925,0.0,-1,230.65,-18.724
2.8723,0.4349,0.0425,563.0135,9.77,7.18,3.723,0.0472,10.34,8.92,4.055,-0.0067,13.79,-1,6.086,0.0255,0.0,-1,235.094,-18.9449
2.8489,0.5928,0.2388,563.4689,8.36,7.74,4.145,0.0453,10.24,8.88,4.386,-0.0151,14.0,-1,6.634,0.0171,0.0,-1,235.65,-18.9756
1.9181,0.4317,0.0124,563.6704,11.27,8.34,4.993,0.0437,12.13,8.120000000000001,4.987,-0.015,13.22,9.44,6.1,0.0196,0.0,-1,234.919,-18.9778
1.3912,0.1338,0.2029,563.9773,6.48,16.06,6.903,0.1034,7.11,16.5,6.476,0.0771,11.81,2.18,7.613,0.1103,0.0,-1,230.55,-18.713
2.6159,0.5668,0.1185,564.4787,9.87,7.5200000000000005,4.204,0.0452,11.31,8.56,4.403,-0.0172,12.89,-1,6.21,0.0157,0.0,-1,235.573,-18.9798
1.4139,0.1174,0.0796,564.6397,5.31,15.14,6.14,0.0945,6.12,9.06,5.732,0.0672,9.72,15.32,6.759,0.1016,0.0,-1,230.069,-18.6821
2.775,0.5979,0.1125,564.8336,10.14,7.22,4.031,0.0456,11.61,8.56,4.308,-0.018,12.91,-1,6.255,0.0143,0.0,-1,235.673,-18.9803
2.5814,0.5133,0.2431,564.8671,8.23,8.42,4.45,0.045,10.5,8.88,4.568,-0.0104,13.78,-1,6.553,0.0224,0.0,-1,235.358,-18.9677
2.0974,0.3074,0.0161,564.9337,8.04,9.28,4.562,0.0487,8.8,8.14,4.503,0.0051,10.65,17.44,5.735,0.0394,0.0,-1,234.064,-18.9182
1.9786,0.3151,0.2188,564.9648,7.82,10.700000000000001,5.343,0.0511,9.58,8.18,5.161,0.0124,12.84,-1,6.746,0.0462,0.0,-1,234.074,-18.9199
2.4719,0.5247,0.1995,566.0655,8.99,8.22,4.521,0.0446,10.95,8.5,4.631,-0.0134,13.82,-1,6.426,0.0197,0.0,-1,235.398,-18.9746
2.4018,0.5035,0.03,566.2907,10.89,7.6000000000000005,4.297,0.0453,12.12,8.540000000000001,4.432,-0.0161,12.2,-1,5.944,0.0171,0.0,-1,235.317,-18.9754
2.424,0.5475,0.1108,566.4715,10.19,7.7,4.428,0.0446,11.27,8.540000000000001,4.56,-0.0179,13.28,-1,6.194,0.0154,0.0,-1,235.488,-18.9817
1.9331,0.4706,0.0265,567.1429,11.86,8.06,5.009,0.043,12.76,8.1,5.034,-0.0188,13.94,9.42,6.169,0.0159,0.0,-1,235.133,-18.9858
2.7037,0.5653,0.0649,568.1884,10.76,7.18,4.023,0.0458,11.98,8.56,4.288,-0.0174,13.74,-1,6.1,0.0151,0.0,-1,235.574,-18.9781
2.2067,0.4704,0.2243,569.7404,9.43,8.86,4.976,0.0437,11.62,8.120000000000001,4.992,-0.0106,13.93,-1,6.611,0.0228,0.0,-1,235.129,-18.9709
1.101,0.0974,0.085,570.0842,6.75,18.02,7.724,0.1246,7.4,2.12,7.212,0.0998,10.59,16.28,8.217,0.1343,0.0,-1,228.201,-18.6073
1.8537,0.4092,0.2354,570.1043,10.76,9.56,5.724,0.0423,12.19,8.18,5.602,-0.0075,14.44,9.32,7.151,0.0256,0.0,-1,234.75,-18.9704
1.5159,0.2848,0.1257,571.5717,10.35,10.96,6.305,0.0481,10.79,9.0,6.056,0.009,12.97,10.32,7.203,0.043,0.0,-1,233.583,-18.9382
2.2621,0.5739,0.1118,573.1148,11.25,7.6000000000000005,4.665,0.0433,12.24,8.540000000000001,4.789,-0.0216,14.39,-1,6.289,0.012,0.0,-1,235.562,-18.9895
1.7496,0.4102,0.1917,573.3027,11.58,9.34,5.846,0.0411,12.92,8.18,5.732,-0.0109,14.64,9.34,7.105,0.0226,0.0,-1,234.751,-18.9781
2.0,0.5426,0.1052,573.618,12.29,7.78,5.073,0.0416,13.79,8.48,5.154,-0.0227,15.32,9.36,6.42,0.0117,0.0,-1,235.439,-18.9934
2.9475,0.5618,0.0044,574.0965,12.56,6.58,3.706,0.0467,11.97,7.34,4.168,-0.0164,16.93,-1,6.162,0.015,0.0,-1,235.597,-18.9735
2.2506,0.5895,0.0857,574.135,11.82,7.4,4.635,0.0432,12.49,8.540000000000001,4.769,-0.0231,14.37,-1,6.23,0.0108,0.0,-1,235.618,-18.9921
1.3429,0.214,0.0003,576.1779,9.42,11.9,6.406,0.0566,9.79,9.040000000000001,6.123,0.0232,11.37,14.38,7.012,0.0591,0.0,-1,232.387,-18.8935
1.0016,0.097,0.052,576.5838,7.66,18.1,8.264,0.1295,8.14,2.18,7.748,0.1058,10.96,16.3,8.734,0.1403,0.0,-1,227.718,-18.6144
