t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
7.800000000000000266e-01,4.850801913218601769e+00,3.054848960919572143e+00,3.054848960919572143e+00,3.054848960919572143e+00,2.850988694931524403e+00,2.850988694931524403e+00,2.260651196766527704e+00,1.795952952299029626e+00,2.353275362271028293e+00,1.238052732871339386e-02,-1.050046928332138280e-01
8.000000000000000444e-01,5.015810538131181495e+00,3.110968899909736241e+00,3.110968899909736241e+00,3.110968899909736241e+00,2.805996949508204885e+00,2.805996949508204885e+00,2.401071240698330111e+00,1.904841638221445255e+00,2.490421203058744037e+00,1.254917002435359218e-02,-1.018991323847676378e-01
8.200000000000000622e-01,4.908296912527730704e+00,3.165868911388827645e+00,3.165868911388827645e+00,3.165868911388827645e+00,2.745000573954569756e+00,2.745000573954569756e+00,2.196033193971852704e+00,1.742428001138903060e+00,2.282606576024853062e+00,1.270374023343874038e-02,-9.927712228643906234e-02
8.399999999999999689e-01,5.111498314829807654e+00,3.220052894150839951e+00,3.220052894150839951e+00,3.220052894150839951e+00,2.709199138100621074e+00,2.709199138100621074e+00,2.386986215415084711e+00,1.891445420678967704e+00,2.470949342370044821e+00,1.287106436213466404e-02,-9.683419131709486427e-02
8.599999999999999867e-01,5.074323139729262522e+00,3.273364851008952137e+00,3.273364851008952137e+00,3.273364851008952137e+00,2.665597842905599091e+00,2.665597842905599091e+00,2.273186186150402577e+00,1.800958288720310385e+00,2.354923211884596856e+00,1.303053160325440794e-02,-9.476755733744852972e-02
8.800000000000000044e-01,5.237692814069819569e+00,3.326175630845740638e+00,3.326175630845740638e+00,3.326175630845740638e+00,2.640538991839421534e+00,2.640538991839421534e+00,2.415009332243825302e+00,1.911517183224078931e+00,2.494696513087301781e+00,1.319946380807764282e-02,-9.288664465155384298e-02
9.000000000000000222e-01,5.141305882757148282e+00,3.378159833829494918e+00,3.378159833829494918e+00,3.378159833829494918e+00,2.599210149187721530e+00,2.599210149187721530e+00,2.227250565322421494e+00,1.763146048927653364e+00,2.305215419927487908e+00,1.335556500974202469e-02,-9.132041961480835690e-02
9.200000000000000400e-01,5.077803065290496853e+00,3.429110088937807443e+00,3.429110088937807443e+00,3.429110088937807443e+00,2.547512755415633823e+00,2.547512755415633823e+00,2.082236211466844900e+00,1.648692976352689410e+00,2.158546903955472551e+00,1.350173432764767076e-02,-8.981242681627547852e-02
9.400000000000000577e-01,5.433333018491808275e+00,3.479906909119724556e+00,3.479906909119724556e+00,3.479906909119724556e+00,2.539841009095854307e+00,2.539841009095854307e+00,2.470795292217837780e+00,1.953426109372083719e+00,2.545363120533580936e+00,1.367409749958931400e-02,-8.824192581533246704e-02
9.599999999999999645e-01,2.765696251320243437e+00,3.523663045234362468e+00,3.523663045234362468e+00,3.523663045234362468e+00,2.187806805731904003e+00,2.187806805731904003e+00,-9.805010245436498462e-01,-7.579667939141190303e-01,-9.070475354053409989e-01,1.361267538301855901e-02,-8.706616452132745487e-02
9.799999999999999822e-01,5.276487561192368503e+00,3.567357795102752860e+00,3.567357795102752860e+00,3.567357795102752860e+00,2.184737493419517396e+00,2.184737493419517396e+00,2.157113682608039706e+00,1.709129766089615643e+00,2.226087135266667794e+00,1.376341829139094732e-02,-8.273687095001890091e-02
