t_s,x_meas_cm,x_true_cm,v_true_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
7.800000000000000266e-01,3.451599987928967384e+00,3.451599987928967384e+00,3.460697305107874655e+00,2.426420937259785138e+00,1.548400012071032616e+00,2.426420937259785138e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000444e-01,3.518537739457122449e+00,3.518537739457122449e+00,3.346887576407742149e+00,2.322600018106548703e+00,1.481462260542877551e+00,2.322600018106548703e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000000622e-01,3.583226102614090358e+00,3.583226102614090358e+00,3.234418157848399478e+00,2.222193390814316327e+00,1.416773897385909642e+00,2.222193390814316327e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.399999999999999689e-01,3.645695951147519320e+00,3.645695951147519320e+00,3.123492426671445887e+00,2.125160846078864463e+00,1.354304048852480680e+00,2.125160846078864463e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999867e-01,3.705981726974162616e+00,3.705981726974162616e+00,3.014288791332173645e+00,2.031456073278721242e+00,1.294018273025837384e+00,2.031456073278721242e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000044e-01,3.764120980037219066e+00,3.764120980037219066e+00,2.906962653152831866e+00,1.941027409538756077e+00,1.235879019962780934e+00,1.941027409538756077e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,3.820153944853858174e+00,3.820153944853858174e+00,2.801648240831965619e+00,1.853818529944171400e+00,1.179846055146141826e+00,1.853818529944171400e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.200000000000000400e-01,3.874123151354271766e+00,3.874123151354271766e+00,2.698460325020690220e+00,1.769769082719212738e+00,1.125876848645728234e+00,1.769769082719212738e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.400000000000000577e-01,3.926073067750581291e+00,3.926073067750581291e+00,2.597495819815480278e+00,1.688815272968592351e+00,1.073926932249418709e+00,1.688815272968592351e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.599999999999999645e-01,3.976049773304008106e+00,3.976049773304008106e+00,2.498835277671345168e+00,1.610890398374128063e+00,1.023950226695991894e+00,1.610890398374128063e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.799999999999999822e-01,4.024100658982180612e+00,4.024100658982180612e+00,2.402544283908609302e+00,1.535925340043987841e+00,9.758993410178193884e-01,1.535925340043987841e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.070274154115589127e+00,4.070274154115589127e+00,2.308674756670421324e+00,1.463849011526729083e+00,9.297258458844108731e-01,1.463849011526729083e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020000000000000018e+00,4.114619477273310011e+00,4.114619477273310011e+00,2.217266157886040645e+00,1.394588768826616310e+00,8.853805227266899891e-01,1.394588768826616310e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000036e+00,4.157186409683438555e+00,4.157186409683438555e+00,2.128346620506440079e+00,1.328070784090034984e+00,8.428135903165614451e-01,1.328070784090034984e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000053e+00,4.198025089623504513e+00,4.198025089623504513e+00,2.041933997003280155e+00,1.264220385474842168e+00,8.019749103764954867e-01,1.264220385474842168e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000071e+00,4.237185826300692959e+00,4.237185826300692959e+00,1.958036833859426507e+00,1.202962365564743230e+00,7.628141736993070410e-01,1.202962365564743230e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,4.274718931831260171e+00,4.274718931831260171e+00,1.876655276528379934e+00,1.144221260548960561e+00,7.252810681687398286e-01,1.144221260548960561e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000107e+00,4.310674570013277140e+00,4.310674570013277140e+00,1.797781909100852893e+00,1.087921602253109743e+00,6.893254299867228596e-01,1.087921602253109743e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.140000000000000124e+00,4.345102620667052662e+00,4.345102620667052662e+00,1.721402532688776077e+00,1.033988144980084289e+00,6.548973793329473381e-01,1.033988144980084289e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.159999999999999920e+00,4.378052558393449090e+00,4.378052558393449090e+00,1.647496886319840481e+00,9.823460689994210071e-01,6.219474416065509104e-01,9.823460689994210071e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.179999999999999938e+00,4.409573344672025996e+00,4.409573344672025996e+00,1.576039313928839114e+00,9.329211624098263655e-01,5.904266553279740037e-01,9.329211624098263655e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e+00,4.439713332288729219e+00,4.439713332288729219e+00,1.506999380835151392e+00,8.856399829919610056e-01,5.602866677112707805e-01,8.856399829919610056e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.219999999999999973e+00,4.468520181146895531e+00,4.468520181146895531e+00,1.440342442908326914e+00,8.404300015669061708e-01,5.314798188531044687e-01,8.404300015669061708e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.239999999999999991e+00,4.496040784575805027e+00,4.496040784575805027e+00,1.376030171445459915e+00,7.972197282796567031e-01,5.039592154241949729e-01,7.972197282796567031e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.260000000000000009e+00,4.522321205308095671e+00,4.522321205308095671e+00,1.314021036614543281e+00,7.559388231362924593e-01,4.776787946919043293e-01,7.559388231362924593e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000027e+00,4.547406620351233109e+00,4.547406620351233109e+00,1.254270752156874558e+00,7.165181920378564939e-01,4.525933796487668914e-01,7.165181920378564939e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e+00,4.571341274029003365e+00,4.571341274029003365e+00,1.196732683888502180e+00,6.788900694731503371e-01,4.286587259709966347e-01,6.788900694731503371e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.320000000000000062e+00,4.594168438516909703e+00,4.594168438516909703e+00,1.141358224395301546e+00,6.429880889564949520e-01,4.058315614830902973e-01,6.429880889564949520e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.340000000000000080e+00,4.615930381240474389e+00,4.615930381240474389e+00,1.088097136178235003e+00,6.087473422246354460e-01,3.840696187595256106e-01,6.087473422246354460e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000098e+00,4.636668338547961454e+00,4.636668338547961454e+00,1.036897865374340366e+00,5.761044281392884159e-01,3.633316614520385457e-01,5.761044281392884159e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.380000000000000115e+00,4.656422495109056037e+00,4.656422495109056037e+00,9.877078280547121336e-01,5.449974921780578185e-01,3.435775048909439633e-01,5.449974921780578185e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e+00,4.675231968528713367e+00,4.675231968528713367e+00,9.404736709828824814e-01,5.153662573364159449e-01,3.247680314712866334e-01,5.153662573364159449e-01,0.000000000000000000e+00,0.000000000000000000e+00
