t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
9.400000000000000577e-01,5.000000000000000000e+00,3.305637022573349348e+00,3.546408414803621234e+00,3.546408414803621234e+00,3.140037075367188457e+00,3.140037075367188457e+00,1.007995820928760278e+00,1.694362977426650652e+00,1.513414997986634924e+00,1.424089180407253456e-02,-5.196600688619472663e-01
9.599999999999999645e-01,5.000000000000000000e+00,3.206015681341369383e+00,3.607034700074710276e+00,3.607034700074710276e+00,3.031314263554458321e+00,3.031314263554458321e+00,2.052808957239886212e+00,1.793984318658630617e+00,2.151840981331846425e+00,1.438660702013122572e-02,-1.134186311120912172e-01
9.799999999999999822e-01,5.000000000000000000e+00,3.886993400765081041e+00,3.666124595539736575e+00,3.666124595539736575e+00,2.954494773251318485e+00,2.954494773251318485e+00,2.263119360523059065e+00,1.113006599234918959e+00,2.278360084696461119e+00,1.454088967153586813e-02,-2.978161384493784036e-02
1.000000000000000000e+00,5.000000000000000000e+00,3.437283647649839402e+00,3.721441863368866176e+00,3.721441863368866176e+00,2.765863391456481857e+00,2.765863391456481857e+00,1.068180955302952428e+00,1.562716352350160598e+00,1.413518381028347148e+00,1.463660823907007164e-02,-3.599740339644648679e-01
1.020000000000000018e+00,5.000000000000000000e+00,4.457845423053924172e+00,3.775170193220295456e+00,3.775170193220295456e+00,2.686416492571467973e+00,2.686416492571467973e+00,1.971394402606341023e+00,5.421545769460758279e-01,1.984649767484703897e+00,1.477100184537218606e-02,-2.802636672373509663e-02
1.040000000000000036e+00,5.000000000000000000e+00,3.602556674160089401e+00,3.823876681524587262e+00,3.823876681524587262e+00,2.435324415214586757e+00,2.435324415214586757e+00,1.754957190026570357e-01,1.397443325839910599e+00,6.885363127215162748e-01,1.481762713898954892e-02,-5.278582208578488366e-01
1.060000000000000053e+00,5.000000000000000000e+00,4.027613850394448747e+00,3.871404768745310587e+00,3.871404768745310587e+00,2.376404361036161372e+00,2.376404361036161372e+00,1.846123873430333573e+00,9.723861496055512532e-01,1.774753023816686426e+00,1.493780726501178074e-02,5.643304234863544266e-02
1.080000000000000071e+00,5.000000000000000000e+00,4.098287166495547140e+00,3.916335600240666182e+00,3.916335600240666182e+00,2.246541574767771277e+00,2.246541574767771277e+00,1.077776498352261747e+00,9.017128335044528598e-01,1.234930409999050127e+00,1.502143247387785832e-02,-1.721753441206661239e-01
1.100000000000000089e+00,5.000000000000000000e+00,4.493955822550358192e+00,3.958782461038536926e+00,3.958782461038536926e+00,2.122343039893534122e+00,2.122343039893534122e+00,1.004556226025401067e+00,5.060441774496418077e-01,1.145175298550655141e+00,1.509897977755924117e-02,-1.557180523028132979e-01
1.120000000000000107e+00,5.000000000000000000e+00,4.908021010127390227e+00,3.997688181711841704e+00,3.997688181711841704e+00,1.945286033665240666e+00,1.945286033665240666e+00,3.517729776105998352e-01,9.197898987260977322e-02,6.426761053610451357e-01,1.514249957681990978e-02,-3.060456273272652017e-01
1.140000000000000124e+00,5.000000000000000000e+00,4.818816064622830631e+00,4.032126384966547405e+00,4.032126384966547405e+00,1.721910162735288186e+00,1.721910162735288186e+00,-2.884726756342842480e-01,1.811839353771693695e-01,1.168133171382144120e-01,1.515040976994895365e-02,-4.204364025424475737e-01
1.159999999999999920e+00,5.000000000000000000e+00,4.630801194658245912e+00,4.063111544236980066e+00,4.063111544236980066e+00,1.549257963521654791e+00,1.549257963521654791e+00,-4.611829401046152466e-03,3.691988053417540883e-01,2.301035979290051159e-01,1.516599158839138962e-02,-2.498814189184426493e-01
1.179999999999999938e+00,5.000000000000000000e+00,4.814705128463701911e+00,4.091803776855307717e+00,4.091803776855307717e+00,1.434611630916402536e+00,1.434611630916402536e+00,4.027946374691317999e-01,1.852948715362980892e-01,4.688824827840277210e-01,1.519774268565078114e-02,-8.128558800054669353e-02
1.199999999999999956e+00,5.000000000000000000e+00,4.808549292995509816e+00,4.117830894400323238e+00,4.117830894400323238e+00,1.301355877250782500e+00,1.301355877250782500e+00,1.020540942602016776e-01,1.914507070044901837e-01,2.353244868510985799e-01,1.521367804460290254e-02,-1.484840706354997875e-01
1.219999999999999973e+00,5.000000000000000000e+00,4.929447263300937188e+00,4.141570298785476112e+00,4.141570298785476112e+00,1.186970219257645898e+00,1.186970219257645898e+00,1.574992973194176415e-01,7.055273669906281242e-02,2.431423978957025500e-01,1.523014280540528793e-02,-1.008732433816901808e-01
1.239999999999999991e+00,5.000000000000000000e+00,4.902522449977542607e+00,4.162883802184852655e+00,4.162883802184852655e+00,1.065675169968809843e+00,1.065675169968809843e+00,-2.598027363071477025e-02,9.747755002245739320e-02,8.960197560780977510e-02,1.523621034076140697e-02,-1.308184595792859506e-01
1.260000000000000009e+00,5.000000000000000000e+00,4.786857072858879292e+00,4.182187708678827498e+00,4.182187708678827498e+00,9.651953246987423629e-01,9.651953246987423629e-01,6.087671726813456696e-02,2.131429271411207083e-01,1.237964885285208899e-01,1.524459341006333818e-02,-7.816436467044965419e-02
1.280000000000000027e+00,5.000000000000000000e+00,7.820305928944561558e+00,4.200138906010818296e+00,4.200138906010818296e+00,8.975598665995481173e-01,8.975598665995481173e-01,2.888407437068004069e-01,-2.820305928944561558e+00,2.706915174692233195e-01,1.526292370179747372e-02,2.886302535779580736e-03
1.300000000000000044e+00,5.000000000000000000e+00,4.975756669453278214e+00,4.206144173067763781e+00,4.206144173067763781e+00,3.002633528472624658e-01,3.002633528472624658e-01,-5.075405270923308620e+00,2.424333054672178633e-02,-3.581788529759593054e+00,1.502037739190824166e-02,-1.508637118555624212e+00
1.320000000000000062e+00,5.000000000000000000e+00,4.823393192192268586e+00,4.212361611329862754e+00,4.212361611329862754e+00,3.108719131049328954e-01,3.108719131049328954e-01,4.063489554239669843e-01,1.766068078077314141e-01,3.078902979433666837e-02,1.502037739190824166e-02,3.605395482377220517e-01
