t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
4.000000000000000222e-01,5.000000000000000000e+00,2.026936993715222624e+00,1.422688655503514754e+00,1.422688655503514754e+00,4.171863009176809634e+00,6.135918688708612123e+00,3.745462970079732390e+00,2.973063006284777376e+00,3.931642352674866281e+00,7.536900732374631449e-03,-1.937162833275082874e-01
4.199999999999999845e-01,5.000000000000000000e+00,2.150969014256907119e+00,1.504955924576024895e+00,1.504955924576024895e+00,4.113363453625507482e+00,6.201601027084216788e+00,3.586867453663789007e+00,2.849030985743092881e+00,3.775790017981667468e+00,7.792584150915122382e-03,-1.967151484687936491e-01
4.400000000000000022e-01,5.000000000000000000e+00,2.258009049003296020e+00,1.585850143546386981e+00,1.585850143546386981e+00,4.044710948518106974e+00,5.352001737319438845e+00,3.426838402551502849e+00,2.741990950996703980e+00,3.618269351893728114e+00,8.037600815689029121e-03,-1.994685501579144260e-01
4.600000000000000200e-01,5.000000000000000000e+00,2.364346125191878478e+00,1.665250276614490987e+00,1.665250276614490987e+00,3.970006653405200758e+00,5.316853809429122890e+00,3.297667997389047034e+00,2.635653874808121522e+00,3.482328507765814152e+00,8.273412037474746350e-03,-1.929339224142417597e-01
4.799999999999999822e-01,5.000000000000000000e+00,2.480120212881002928e+00,1.743045938155074914e+00,1.743045938155074914e+00,3.889783077029194569e+00,5.788704384456230478e+00,3.167770889645139309e+00,2.519879787118997072e+00,3.347280421006314288e+00,8.500078270708245204e-03,-1.880096096318832899e-01
5.000000000000000000e-01,5.000000000000000000e+00,2.586692203971957760e+00,1.819101437331924531e+00,1.819101437331924531e+00,3.802774958842477737e+00,5.328599554547742478e+00,3.019701895162024474e+00,2.413307796028042240e+00,3.200247329641126459e+00,8.716787932400478153e-03,-1.892622224115022844e-01
5.200000000000000178e-01,5.000000000000000000e+00,2.694553795060794510e+00,1.893327924243303428e+00,1.893327924243303428e+00,3.711324345568942640e+00,5.393079554441844614e+00,2.888268826107125875e+00,2.305446204939205490e+00,3.064900900955613849e+00,8.924332402858890442e-03,-1.855564072513471163e-01
5.400000000000000355e-01,5.000000000000000000e+00,2.792538498232201238e+00,1.965638631910766598e+00,1.965638631910766598e+00,3.615535383373157607e+00,4.899235158570334647e+00,2.753434723611091428e+00,2.207461501767798762e+00,2.927916680272791172e+00,9.122600776483661897e-03,-1.836045574381836853e-01
5.600000000000000533e-01,5.000000000000000000e+00,2.886792733115309595e+00,2.035989206766132931e+00,2.035989206766132931e+00,3.517528742768306849e+00,4.712711744155428484e+00,2.635468977324651352e+00,2.113207266884690405e+00,2.803476107245104654e+00,9.312442465635692099e-03,-1.773195723860891415e-01
5.799999999999999600e-01,5.000000000000000000e+00,2.996043578928314410e+00,2.104349134331146676e+00,2.104349134331146676e+00,3.417996378250685474e+00,5.462542290650243437e+00,2.522205097592094436e+00,2.003956421071685590e+00,2.683773228943556965e+00,9.494178290587775015e-03,-1.710623096420503531e-01
5.999999999999999778e-01,5.000000000000000000e+00,3.084706709859402096e+00,2.170634150410338137e+00,2.170634150410338137e+00,3.314250803959569946e+00,4.433156546554380739e+00,2.380540635339528865e+00,1.915293290140597904e+00,2.545024654761040672e+00,9.666518542799939356e-03,-1.741505379643116525e-01
6.199999999999999956e-01,5.000000000000000000e+00,3.174728593379039676e+00,2.234843053074541785e+00,2.234843053074541785e+00,3.210445133210173996e+00,4.501094175981870116e+00,2.276194096465611771e+00,1.825271406620960324e+00,2.432422478478559302e+00,9.831233765752031215e-03,-1.660596157786998206e-01
6.400000000000000133e-01,5.000000000000000000e+00,3.248300787002768253e+00,2.296965086001280021e+00,2.296965086001280021e+00,3.106101646336903777e+00,3.678609681186420843e+00,2.167010264477471804e+00,1.751699212997231747e+00,2.318094686408619598e+00,9.988207106721434456e-03,-1.610726290378693970e-01
6.600000000000000311e-01,5.000000000000000000e+00,3.338359558142341754e+00,2.357045729757333064e+00,2.357045729757333064e+00,3.004032187802653020e+00,4.502938556978680396e+00,2.085407060994398432e+00,1.661640441857658246e+00,2.224658000506484434e+00,1.013885323903919618e-02,-1.493897927511254053e-01
6.800000000000000488e-01,5.000000000000000000e+00,3.414839881804203614e+00,2.415060595122826559e+00,2.415060595122826559e+00,2.900743268274684539e+00,3.824016183093093435e+00,1.971142992522969539e+00,1.585160118195796386e+00,2.110283361159225990e+00,1.028175431703895470e-02,-1.494221229532953776e-01
7.000000000000000666e-01,5.000000000000000000e+00,3.486329219279619807e+00,2.471035751433660721e+00,2.471035751433660721e+00,2.798757815541711214e+00,3.574466873770809183e+00,1.880888740944951509e+00,1.513670780720380193e+00,2.013153350108661588e+00,1.041807808720379355e-02,-1.426826872509139588e-01
7.199999999999999734e-01,5.000000000000000000e+00,3.568825501712312054e+00,2.525008253261713076e+00,2.525008253261713076e+00,2.698625091402623077e+00,4.124814121634615915e+00,1.797430574150831628e+00,1.431174498287687946e+00,1.922361891514882792e+00,1.054825377434574600e-02,-1.354795711383970369e-01
7.399999999999999911e-01,5.000000000000000000e+00,3.634067214156450287e+00,2.576968193105276583e+00,2.576968193105276583e+00,2.597996992178181141e+00,3.262085622206907232e+00,1.692344099158203496e+00,1.365932785843549713e+00,1.817591612825363745e+00,1.067133478119848718e-02,-1.359188484483586645e-01
7.600000000000000089e-01,5.000000000000000000e+00,3.696690371213571691e+00,2.626967918717105999e+00,2.626967918717105999e+00,2.499986280591468546e+00,3.131157852856073731e+00,1.617889876311057185e+00,1.303309628786428309e+00,1.734734638021308228e+00,1.078880500078103176e-02,-1.276335667110319039e-01
7.800000000000000266e-01,5.000000000000000000e+00,3.750716204547486221e+00,2.675058820346303268e+00,2.675058820346303268e+00,2.404545081459867006e+00,2.701291666695724292e+00,1.545574289275451818e+00,1.249283795452513779e+00,1.655203228558763895e+00,1.090088962885666507e-02,-1.205298289121687905e-01
8.000000000000000444e-01,5.000000000000000000e+00,3.857793772559971579e+00,2.721313277818623089e+00,2.721313277818623089e+00,2.312722873615995489e+00,5.353878400624268785e+00,1.486323003021150502e+00,1.142206227440028421e+00,1.586590420224692544e+00,1.100832803526558164e-02,-1.112757452388075941e-01
8.200000000000000622e-01,5.000000000000000000e+00,3.917932023194170998e+00,2.765603271175875566e+00,2.765603271175875566e+00,2.214499667862623866e+00,3.006912531709976744e+00,1.330490816082278593e+00,1.082067976805829002e+00,1.450601908848836219e+00,1.110655777082542386e-02,-1.312176505373830182e-01
8.399999999999999689e-01,5.000000000000000000e+00,3.970764361399353515e+00,2.807991514681339229e+00,2.807991514681339229e+00,2.119412175273184928e+00,2.641616910259123596e+00,1.263624741968234266e+00,1.029235638600646485e+00,1.374226330543402819e+00,1.119961561683072496e-02,-1.218012041919994265e-01
8.599999999999999867e-01,5.000000000000000000e+00,4.021930480338056668e+00,2.848554625923344741e+00,2.848554625923344741e+00,2.028155562100265374e+00,2.558305946935174546e+00,1.206846043543991165e+00,9.780695196619433318e-01,1.307129261022821121e+00,1.128812988175038022e-02,-1.115713473605804973e-01
8.800000000000000044e-01,5.000000000000000000e+00,4.083247638119436473e+00,2.887361305768044062e+00,2.887361305768044062e+00,1.940333992234961613e+00,3.065857889068976494e+00,1.149939863447228650e+00,9.167523618805635266e-01,1.242148289970667951e+00,1.137224386044130738e-02,-1.035806703838805243e-01
9.000000000000000222e-01,5.000000000000000000e+00,4.137164410375199886e+00,2.924432685968889611e+00,2.924432685968889611e+00,1.853569010042269039e+00,2.695838612788161281e+00,1.072684170308035423e+00,8.628355896248001144e-01,1.164275499588315776e+00,1.145108456356303504e-02,-1.030424138438435083e-01
9.200000000000000400e-01,5.000000000000000000e+00,4.186059542332507100e+00,2.959813620639597964e+00,2.959813620639597964e+00,1.769046733535412752e+00,2.444756597865349157e+00,1.008346244973706174e+00,8.139404576674929004e-01,1.095801198823496136e+00,1.152528842427076768e-02,-9.898024227406063136e-02
9.400000000000000577e-01,5.000000000000000000e+00,4.224897643548056969e+00,2.993559789289705009e+00,2.993559789289705009e+00,1.687308432505348010e+00,1.941905060777488146e+00,9.516637232347647801e-01,7.751023564519430309e-01,1.033704381237716019e+00,1.159528730363017235e-02,-9.363594530658143900e-02
9.599999999999999645e-01,5.000000000000000000e+00,4.254580731957879891e+00,3.025753651880161765e+00,3.025753651880161765e+00,1.609693129522843380e+00,1.484154420491168302e+00,9.111554026803019291e-01,7.454192680421201089e-01,9.843799926939676981e-01,1.166194610628503922e-02,-8.488653611995083947e-02
9.799999999999999822e-01,5.000000000000000000e+00,4.307342801347722627e+00,3.056496539750102492e+00,3.056496539750102492e+00,1.537144393497036132e+00,2.638103469492115938e+00,8.842057692647717904e-01,6.926571986522773727e-01,9.466824704134925161e-01,1.172605216333666087e-02,-7.420275331205740399e-02
1.000000000000000000e+00,5.000000000000000000e+00,4.342634955429446997e+00,3.085791624483241513e+00,3.085791624483241513e+00,1.464754236656955699e+00,1.764607704086216255e+00,8.132428250962311367e-01,6.573650445705530032e-01,8.796746422883923167e-01,1.178562068242075718e-02,-7.821743787458186603e-02
1.020000000000000018e+00,5.000000000000000000e+00,4.388756243226992204e+00,3.113705936865938551e+00,3.113705936865938551e+00,1.395715619134855201e+00,2.306064389877242160e+00,7.743680614359500503e-01,6.112437567730077959e-01,8.348536066046022830e-01,1.184215407625382500e-02,-7.232769924490604907e-02
1.040000000000000036e+00,5.000000000000000000e+00,4.416849843009554633e+00,3.140257971013058924e+00,3.140257971013058924e+00,1.327601707356014238e+00,1.404679989128133855e+00,7.145765013464444593e-01,5.831501569904453675e-01,7.762795711017198563e-01,1.189472103933630377e-02,-7.359779079461174767e-02
1.060000000000000053e+00,5.000000000000000000e+00,4.459659907671452039e+00,3.165528874755632494e+00,3.165528874755632494e+00,1.263545187128688685e+00,2.140503233094884106e+00,6.870365050827588194e-01,5.403400923285479607e-01,7.406006993778656566e-01,1.194487195283748179e-02,-6.550906624794430866e-02
1.080000000000000071e+00,5.000000000000000000e+00,4.503016616958074536e+00,3.189534783123714412e+00,3.189534783123714412e+00,1.200295418404104586e+00,2.167835464331143491e+00,6.310474998828476956e-01,4.969833830419254639e-01,6.862319172572559633e-01,1.199134120077773730e-02,-6.717575857518592874e-02
1.100000000000000089e+00,5.000000000000000000e+00,4.532079717038516087e+00,3.212289277267003307e+00,3.212289277267003307e+00,1.137724707164453841e+00,1.453155004022094410e+00,5.745883060075965831e-01,4.679202829614839132e-01,6.311688964632453658e-01,1.203408177171934323e-02,-6.861467222736815363e-02
1.120000000000000107e+00,5.000000000000000000e+00,4.560377848977838156e+00,3.233855980771719096e+00,3.233855980771719096e+00,1.078335175235800580e+00,1.414906596966112984e+00,5.438293878779210111e-01,4.396221510221618445e-01,5.942587593610846319e-01,1.207432291605403142e-02,-6.250369439921760195e-02
1.140000000000000124e+00,5.000000000000000000e+00,4.596458249555018583e+00,3.254291188338831464e+00,3.254291188338831464e+00,1.021760378355615728e+00,1.804020028859024904e+00,5.125872064339528356e-01,4.035417504449814174e-01,5.583201317981455469e-01,1.211213042104193789e-02,-5.784505578523470998e-02
1.159999999999999920e+00,5.000000000000000000e+00,4.646061032789035927e+00,3.273615245708311861e+00,3.273615245708311861e+00,9.662028684740148199e-01,2.480139161700866790e+00,4.661852795396064231e-01,3.539389672109640728e-01,5.124980230651263735e-01,1.214683501158020547e-02,-5.845957853710014723e-02
1.179999999999999938e+00,5.000000000000000000e+00,4.683097848911094374e+00,3.291799009083032690e+00,3.291799009083032690e+00,9.091881687360306996e-01,1.851840806102913461e+00,3.960558710941740057e-01,3.169021510889056259e-01,4.495024883579243902e-01,1.217727376276034855e-02,-6.562389102651074169e-02
1.199999999999999956e+00,5.000000000000000000e+00,4.709144600383713630e+00,3.308864974522447877e+00,3.308864974522447877e+00,8.532982719707598029e-01,1.302337573630943712e+00,3.502892010833215108e-01,2.908553996162863697e-01,4.024657318829101271e-01,1.220452734775399374e-02,-6.438105814734262911e-02
1.219999999999999973e+00,5.000000000000000000e+00,4.747422860692280366e+00,3.324871499168898126e+00,3.324871499168898126e+00,8.003262323225138752e-01,1.913913015428354791e+00,3.235778754883004149e-01,2.525771393077196336e-01,3.693863575126836718e-01,1.222954091212099387e-02,-5.803802293650422994e-02
1.239999999999999991e+00,5.000000000000000000e+00,4.787612648294834017e+00,3.339824041430258905e+00,3.339824041430258905e+00,7.476271130680310906e-01,2.009489380127671865e+00,2.733350397776861951e-01,2.123873517051659832e-01,3.207729669208039258e-01,1.225126254610145807e-02,-5.968918968921919227e-02
1.260000000000000009e+00,5.000000000000000000e+00,4.818928010224294844e+00,3.353721738500514249e+00,3.353721738500514249e+00,6.948848535127662984e-01,1.565768096473056037e+00,2.202045175153837242e-01,1.810719897757051555e-01,2.697319366655607786e-01,1.226952785834810149e-02,-6.179694700852515765e-02
1.280000000000000027e+00,5.000000000000000000e+00,4.861468891462797259e+00,3.366596453091579733e+00,3.366596453091579733e+00,6.437357295532671886e-01,2.127044061925104756e+00,1.833936139177752556e-01,1.385311085372027406e-01,2.299614270151455475e-01,1.228510004946881291e-02,-5.885291314683910313e-02
1.300000000000000044e+00,5.000000000000000000e+00,4.894437487354015737e+00,3.378435394470553632e+00,3.378435394470553632e+00,5.919470689486893145e-01,1.648429794560939410e+00,1.258491235074889192e-01,1.055625126459842633e-01,1.759345078422474840e-01,1.229701372480301175e-02,-6.238239805956157652e-02
1.320000000000000062e+00,5.000000000000000000e+00,4.927801201423727129e+00,3.389263010599161685e+00,3.389263010599161685e+00,5.413808064303974321e-01,1.668185703485547844e+00,8.628444376577068531e-02,7.219879857627287123e-02,1.340643910604000233e-01,1.230609210089056611e-02,-6.008603939551990236e-02
1.340000000000000080e+00,5.000000000000000000e+00,4.972646012922927738e+00,3.399098523951320505e+00,3.399098523951320505e+00,4.917756676079431122e-01,2.242240574960010946e+00,4.532941820585446868e-02,2.735398707707226151e-02,9.169247419186654646e-02,1.231230119756812624e-02,-5.867535718358020402e-02
1.360000000000000098e+00,5.000000000000000000e+00,5.022999243674123981e+00,3.407917778765524375e+00,3.407917778765524375e+00,4.409627407101829877e-01,2.517661537559797047e+00,-1.635360136965814670e-02,-2.299924367412398141e-02,3.473956358788177212e-02,1.231230119756812624e-02,-6.340546615510804507e-02
1.380000000000000115e+00,5.000000000000000000e+00,5.069402875171300060e+00,3.415682395151325323e+00,3.415682395151325323e+00,3.882308192900406074e-01,2.320181574858794171e+00,-8.635647349124069005e-02,-6.940287517130006023e-02,-2.920903946613745764e-02,1.231230119756812624e-02,-6.945973522267136213e-02
1.400000000000000133e+00,5.000000000000000000e+00,5.069437788292699310e+00,3.422375417614428539e+00,3.422375417614428539e+00,3.346511231551654308e-01,1.745656069953360756e-03,-1.475661420587113248e-01,-6.943778829269930952e-02,-8.814165146755108260e-02,1.230633255030339455e-02,-7.173082314146364546e-02
1.419999999999999929e+00,5.000000000000000000e+00,5.096662642354607087e+00,3.428146908644892132e+00,3.428146908644892132e+00,2.885745515231789571e-01,1.361242703095404405e+00,-1.261145931646992790e-01,-9.666264235460708676e-02,-8.818599113172811976e-02,1.230036090051022171e-02,-5.022896293348137753e-02
1.439999999999999947e+00,5.000000000000000000e+00,5.140337051890658593e+00,3.433022875053802547e+00,3.433022875053802547e+00,2.437983204455260178e-01,2.183720476802563759e+00,-1.591877592533503250e-01,-1.403370518906585929e-01,-1.227615557903510013e-01,1.229204791326772572e-02,-4.871825137626703550e-02
1.459999999999999964e+00,5.000000000000000000e+00,5.172501365244896121e+00,3.436967643404048811e+00,3.436967643404048811e+00,1.972384175123062244e-01,1.608215667711882180e+00,-2.218007088866718601e-01,-1.725013652448961210e-01,-1.782280559011364118e-01,1.227997892680512959e-02,-5.585263191234057095e-02
1.479999999999999982e+00,5.000000000000000000e+00,5.208904581864860717e+00,3.439994082398388997e+00,3.439994082398388997e+00,1.513219497170083527e-01,1.820160830998214241e+00,-2.619262604406726869e-01,-2.089045818648607167e-01,-2.190767338610180859e-01,1.226514380939406831e-02,-5.511467038904868665e-02
1.500000000000000000e+00,5.000000000000000000e+00,5.246464713414631831e+00,3.442098336069090880e+00,3.442098336069090880e+00,1.052126835350979395e-01,1.878006577488557483e+00,-3.097707121020958354e-01,-2.464647134146318308e-01,-2.653088189683731057e-01,1.224717801535368973e-02,-5.670907114907644542e-02
1.520000000000000018e+00,5.000000000000000000e+00,5.288531973846861689e+00,3.443273793374117098e+00,3.443273793374117098e+00,5.877286525131595468e-02,2.103363021611512007e+00,-3.591854993027219223e-01,-2.885319738468616890e-01,-3.130101860365824273e-01,1.222598205000003171e-02,-5.840129531613952318e-02
1.540000000000000036e+00,5.000000000000000000e+00,5.325638859356214283e+00,3.443499575266837365e+00,3.443499575266837365e+00,1.128909463600302754e-02,1.855344275467611492e+00,-4.160648409018132821e-01,-3.256388593562142830e-01,-3.664356067855143451e-01,1.220116830024920232e-02,-6.183040241654813585e-02
1.560000000000000053e+00,5.000000000000000000e+00,5.355985239569105438e+00,3.442776481572886738e+00,3.442776481572886738e+00,-3.615468469752616126e-02,1.517319010644561761e+00,-4.631486986992888744e-01,-3.559852395691054383e-01,-4.135613513823921394e-01,1.217316335834456829e-02,-6.176051067524128413e-02
1.580000000000000071e+00,5.000000000000000000e+00,5.403677104330887992e+00,3.441129090127443835e+00,3.441129090127443835e+00,-8.236957227214464217e-02,2.384593238089108169e+00,-4.983035604437109911e-01,-4.036771043308879925e-01,-4.521012542527639289e-01,1.214254862774162558e-02,-5.834485481868869478e-02
1.600000000000000089e+00,5.000000000000000000e+00,5.441149570488117426e+00,3.438516129752289263e+00,3.438516129752289263e+00,-1.306480187577210295e-01,1.873623307861471243e+00,-5.651540371279084596e-01,-4.411495704881174262e-01,-5.126699225002278038e-01,1.210783239676916853e-02,-6.459194702444980007e-02
1.620000000000000107e+00,5.000000000000000000e+00,5.467357786348074455e+00,3.434940333990550876e+00,3.434940333990550876e+00,-1.787897880869106226e-01,1.310410792997848572e+00,-6.120657120496170167e-01,-4.673577863480744554e-01,-5.602599545199091757e-01,1.206989353370719123e-02,-6.387565106341511201e-02
1.640000000000000124e+00,5.000000000000000000e+00,5.489516730794201216e+00,3.430443559134705112e+00,3.430443559134705112e+00,-2.248387427922818038e-01,1.107947222306344459e+00,-6.392793351406225177e-01,-4.895167307942012158e-01,-5.935443886620546117e-01,1.202970076408125741e-02,-5.776464724264918082e-02
1.660000000000000142e+00,5.000000000000000000e+00,5.523267977129716400e+00,3.425074123658069070e+00,3.425074123658069070e+00,-2.684717738317964342e-01,1.687562316775752080e+00,-6.611690531874281351e-01,-5.232679771297163995e-01,-6.216862481086355974e-01,1.198760232523295687e-02,-5.147040740402555187e-02
1.679999999999999938e+00,5.000000000000000000e+00,5.559220679289604838e+00,3.418830741458029898e+00,3.418830741458029898e+00,-3.121691100019612364e-01,1.797635107994429715e+00,-7.054451355334444562e-01,-5.592206792896048384e-01,-6.645503309547398096e-01,1.194260127919980104e-02,-5.283740585790444588e-02
