t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
4.199999999999999845e-01,5.000000000000000000e+00,2.407202288736815188e+00,2.407202288736815188e+00,2.407202288736815188e+00,6.538943172309121366e+00,6.538943172309121366e+00,5.666643449976255020e+00,2.592797711263184812e+00,5.447153149418734408e+00,8.889584517047900425e-01,-6.694681511472687641e-01
4.400000000000000022e-01,5.000000000000000000e+00,2.535774637539122356e+00,2.535774637539122356e+00,2.535774637539122356e+00,6.428617440115352188e+00,6.428617440115352188e+00,5.435685850371429595e+00,2.464225362460877644e+00,5.185595422526369624e+00,9.148864288174218817e-01,-6.647960009723616892e-01
4.600000000000000200e-01,5.000000000000000000e+00,2.661909278828157976e+00,2.661909278828157976e+00,2.661909278828157976e+00,6.306732064451784581e+00,6.306732064451784581e+00,5.209763683479672558e+00,2.338090721171842024e+00,4.928450724921755288e+00,9.395286824420306937e-01,-6.582157238841139790e-01
4.799999999999999822e-01,5.000000000000000000e+00,2.785408732114980079e+00,2.785408732114980079e+00,2.785408732114980079e+00,6.174972664341106032e+00,6.174972664341106032e+00,4.989138063344999097e+00,2.214591267885019921e+00,4.676181442343684047e+00,9.629095896537490651e-01,-6.499529686524332384e-01
5.000000000000000000e-01,5.000000000000000000e+00,2.906106283633351328e+00,2.906106283633351328e+00,2.906106283633351328e+00,6.034877575918565995e+00,6.034877575918565995e+00,4.774021780115702995e+00,2.093893716366648672e+00,4.429182535770039841e+00,9.850555023325993087e-01,-6.402162579869363768e-01
5.200000000000000178e-01,5.000000000000000000e+00,3.023863248328607867e+00,3.023863248328607867e+00,3.023863248328607867e+00,5.887848234762824262e+00,5.887848234762824262e+00,4.564584164361150442e+00,1.976136751671392133e+00,4.187787432733297344e+00,1.005994439496265880e+00,-6.291977078684123370e-01
5.400000000000000355e-01,5.000000000000000000e+00,3.138566427489948740e+00,3.138566427489948740e+00,3.138566427489948740e+00,5.735158958067041013e+00,5.735158958067041013e+00,4.360955467804989993e+00,1.861433572510051260e+00,3.952273503342784267e+00,1.025755807012979748e+00,-6.170738425507734659e-01
5.600000000000000533e-01,5.000000000000000000e+00,3.250125750393616730e+00,3.250125750393616730e+00,3.250125750393616730e+00,5.577966145183399505e+00,5.577966145183399505e+00,4.163230829230630370e+00,1.749874249606383270e+00,3.722867145020102519e+00,1.044370142738080265e+00,-6.040064585275527476e-01
5.799999999999999600e-01,5.000000000000000000e+00,3.358472088765162233e+00,3.358472088765162233e+00,3.358472088765162233e+00,5.417316918577271601e+00,5.417316918577271601e+00,3.971473879122121797e+00,1.641527911234837767e+00,3.499748499212766539e+00,1.061868885234144022e+00,-5.901435053247888751e-01
5.999999999999999778e-01,5.000000000000000000e+00,3.463555233350616103e+00,3.463555233350616103e+00,3.463555233350616103e+00,5.254157229272694352e+00,5.254157229272694352e+00,3.785720025531497335e+00,1.536444766649383897e+00,3.283055822469675533e+00,1.078284164346492435e+00,-5.756199612846704117e-01
6.199999999999999956e-01,5.000000000000000000e+00,3.565342022388593435e+00,3.565342022388593435e+00,3.565342022388593435e+00,5.089339451898855060e+00,5.089339451898855060e+00,3.605979455534303657e+00,1.434657977611406565e+00,3.072889533298767795e+00,1.093648612012986243e+00,-5.605586897774500477e-01
6.400000000000000133e-01,5.000000000000000000e+00,3.663814612283994521e+00,3.663814612283994521e+00,3.663814612283994521e+00,4.923629494770042747e+00,4.923629494770042747e+00,3.432239880610731930e+00,1.336185387716005479e+00,2.869315955222813130e+00,1.107995191789100220e+00,-5.450712664011809760e-01
