1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
-23,56,1365,-3,1,2,-108,632,-331,265.65,-1.33,2.27,-1.2,87.65,15.56,38.6,0,0,0,0,
-25,54,1365,0,1,1,-108,632,-331,265.65,-1.33,2.27,-1.2,87.65,15.56,38.6,0,0,0,0,
-25,54,1365,0,1,1,-110,636,-339,265.67,-1.33,2.27,-1.2,87.65,15.56,38.6,0,0,0,0,
-25,54,1365,0,1,1,-110,636,-339,265.67,-1.33,2.27,-1.2,87.65,15.56,38.6,0,0,0,0,
-25,54,1365,0,1,1,-110,636,-339,265.67,-1.33,2.27,-1.2,87.65,15.56,38.6,0,0,0,0,
-25,54,1365,0,1,1,-110,636,-339,265.67,-1.33,2.27,-1.2,87.65,15.56,38.6,0,0,0,0,
-24,53,1366,-1,0,-1,-110,636,-339,265.67,-1.33,2.27,-1.2,87.65,15.56,38.6,0,0,0,0,
-24,53,1366,-1,0,-1,-110,636,-339,265.67,-1.33,2.27,-1.2,87.66,15.56,38.6,0,0,0,0,
-24,53,1366,-1,0,-1,-110,636,-339,265.67,-1.33,2.27,-1.2,87.66,15.56,38.6,0,0,0,0,
-25,50,1367,-5,0,0,-110,636,-339,265.67,-1.33,2.27,-1.2,87.66,15.56,38.6,0,0,0,0,
-25,50,1367,-5,0,0,-114,632,-336,265.65,-1.33,2.27,-1.2,87.66,15.56,38.6,0,0,0,0,
-25,50,1367,-5,0,0,-114,632,-336,265.65,-1.33,2.27,-1.2,87.67,15.56,38.6,0,0,0,0,
-25,50,1367,-5,0,0,-114,632,-336,265.65,-1.33,2.27,-1.2,87.67,15.56,38.6,0,0,0,0,
-25,50,1367,-5,0,0,-114,632,-336,265.65,-1.33,2.27,-1.2,87.67,15.56,38.6,0,0,0,0,
-23,49,1362,-3,-2,0,-114,632,-336,265.65,-1.33,2.27,-1.2,87.67,15.56,38.6,0,0,0,0,
-23,49,1362,-3,-2,0,-114,632,-336,265.65,-1.33,2.26,-1.2,87.68,15.56,38.6,0,0,0,0,
-23,49,1362,-3,-2,0,-114,632,-336,265.65,-1.33,2.26,-1.2,87.68,15.56,38.6,0,0,0,0,
-22,53,1363,-4,0,-1,-114,632,-336,265.65,-1.33,2.26,-1.2,87.68,15.56,38.6,0,0,0,0,
-22,53,1363,-4,0,-1,-114,632,-336,265.65,-1.33,2.26,-1.2,87.68,15.56,38.6,0,0,0,0,
-23,57,1363,0,3,-3,-114,632,-336,265.65,-1.33,2.26,-1.2,87.68,15.56,38.6,0,0,0,0,
-23,57,1363,0,3,-3,-109,632,-321,265.65,-1.33,2.26,-1.2,87.68,15.56,38.6,0,0,0,0,
-23,57,1363,0,3,-3,-109,632,-321,265.65,-1.33,2.26,-1.2,87.69,15.56,38.6,0,0,0,0,
-23,57,1363,0,3,-3,-109,632,-321,265.65,-1.33,2.26,-1.2,87.69,15.56,38.6,0,0,0,0,
-23,57,1363,0,3,-3,-109,632,-321,265.65,-1.33,2.26,-1.2,87.69,15.56,38.6,0,0,0,0,
-24,53,1364,-4,0,-1,-109,632,-321,265.65,-1.33,2.26,-1.2,87.69,15.56,38.6,0,0,0,0,
-24,53,1364,-4,0,-1,-109,632,-321,265.65,-1.33,2.26,-1.2,87.7,15.56,38.6,0,0,0,0,
-24,53,1364,-4,0,-1,-109,632,-321,265.65,-1.33,2.26,-1.2,87.7,15.56,38.6,0,0,0,0,
-25,54,1365,-1,1,0,-109,632,-321,265.65,-1.33,2.26,-1.2,87.7,15.56,38.6,0,0,0,0,
-25,54,1365,-1,1,0,-110,632,-329,265.63,-1.33,2.26,-1.2,87.7,15.56,38.6,0,0,0,0,
-25,54,1365,-1,1,0,-110,632,-329,265.63,-1.33,2.26,-1.2,87.71,15.56,38.6,0,0,0,0,
-25,54,1365,-1,1,0,-110,632,-329,265.63,-1.33,2.26,-1.2,87.71,15.56,38.6,0,0,0,0,
-25,54,1365,-1,1,0,-110,632,-329,265.63,-1.33,2.26,-1.2,87.71,15.56,38.6,0,0,0,0,
-25,55,1368,1,0,2,-110,632,-329,265.63,-1.33,2.26,-1.2,87.71,15.56,38.6,0,0,0,0,
-25,55,1368,1,0,2,-110,632,-329,265.63,-1.33,2.26,-1.2,87.72,15.56,38.6,0,0,0,0,
-25,55,1368,1,0,2,-110,632,-329,265.63,-1.33,2.26,-1.2,87.72,15.56,38.6,0,0,0,0,
-24,54,1366,-6,-1,-3,-110,632,-329,265.63,-1.33,2.26,-1.2,87.72,15.56,38.6,0,0,0,0,
-24,54,1366,-6,-1,-3,-110,632,-329,265.63,-1.33,2.26,-1.2,87.72,15.56,38.6,0,0,0,0,
-25,54,1365,-2,1,1,-110,632,-329,265.63,-1.33,2.26,-1.2,87.72,15.56,38.6,0,0,0,0,
-25,54,1365,-2,1,1,-113,630,-332,265.65,-1.33,2.26,-1.2,87.72,15.56,38.6,0,0,0,0,
-25,54,1365,-2,1,1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.72,15.56,38.6,0,0,0,0,
-25,54,1365,-2,1,1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.72,15.56,38.6,0,0,0,0,
-25,54,1365,-2,1,1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.72,15.56,38.6,0,0,0,0,
-25,54,1365,-2,1,1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.72,15.56,38.6,0,0,0,0,
-27,54,1365,-1,1,1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.72,15.56,38.6,0,0,0,0,
-27,54,1365,-1,1,1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.73,15.56,38.6,0,0,0,0,
-27,54,1365,-1,1,1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.73,15.56,38.6,0,0,0,0,
-25,54,1365,-8,0,-1,-113,630,-332,265.65,-1.33,2.25,-1.2,87.73,15.56,38.6,0,0,0,0,
-25,54,1365,-8,0,-1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.73,15.56,38.6,0,0,0,0,
-25,54,1365,-8,0,-1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-25,54,1365,-8,0,-1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-25,54,1365,-8,0,-1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-24,54,1362,0,1,1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-24,54,1362,0,1,1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-24,54,1362,0,1,1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-27,52,1365,0,2,-1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-27,52,1365,0,2,-1,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-26,55,1364,2,0,0,-117,637,-337,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-26,55,1364,2,0,0,-120,636,-342,265.63,-1.33,2.25,-1.2,87.74,15.56,38.6,0,0,0,0,
-26,55,1364,2,0,0,-120,636,-342,265.63,-1.33,2.25,-1.2,87.75,15.56,38.6,0,0,0,0,
-26,55,1364,2,0,0,-120,636,-342,265.63,-1.33,2.25,-1.2,87.75,15.56,38.6,0,0,0,0,
-26,55,1364,2,0,0,-120,636,-342,265.63,-1.33,2.25,-1.2,87.75,15.56,38.6,0,0,0,0,
-27,54,1365,-3,0,-2,-120,636,-342,265.63,-1.33,2.25,-1.2,87.75,15.56,38.6,0,0,0,0,
