1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,FC_ALT_FU,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW,FC_Votage,FC_SenserTMP,FC_CTRLOUT_PWM1,FC_CTRLOUT_PWM2,FC_CTRLOUT_PWM3,FC_CTRLOUT_PWM4,
-29,51,1364,-5,1,1,-110,641,-326,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1366,0,-2,0,-110,641,-326,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1366,0,-2,0,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1366,0,-2,0,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1366,0,-2,0,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1366,0,-2,0,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-30,49,1365,-1,-1,-1,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-30,49,1365,-1,-1,-1,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-30,49,1365,-1,-1,-1,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1365,-1,0,0,-113,642,-322,265.43,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1365,-1,0,0,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1365,-1,0,0,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1365,-1,0,0,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1365,-1,0,0,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,49,1366,1,0,-2,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,49,1366,1,0,-2,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,49,1366,1,0,-2,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-32,49,1366,-3,0,-4,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-32,49,1366,-3,0,-4,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,52,1366,0,2,0,-110,640,-331,265.47,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,52,1366,0,2,0,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,52,1366,0,2,0,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,52,1366,0,2,0,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,52,1366,0,2,0,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1364,0,0,-2,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1364,0,0,-2,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,53,1364,0,0,-2,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,53,1367,3,1,1,-112,639,-323,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,53,1367,3,1,1,-106,629,-339,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,53,1367,3,1,1,-106,629,-339,265.45,-1.37,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,53,1367,3,1,1,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,53,1367,3,1,1,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,49,1367,-4,2,0,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,49,1367,-4,2,0,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,49,1367,-4,2,0,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,54,1364,-4,-2,0,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-27,54,1364,-4,-2,0,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,46,1362,-6,1,0,-106,629,-339,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,46,1362,-6,1,0,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,46,1362,-6,1,0,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,46,1362,-6,1,0,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,46,1362,-6,1,0,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-28,46,1362,-6,1,0,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1365,-4,1,-2,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1365,-4,1,-2,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1365,-4,1,-2,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-31,49,1365,0,-1,-2,-106,636,-325,265.45,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-31,49,1365,0,-1,-2,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-31,49,1365,0,-1,-2,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-31,49,1365,0,-1,-2,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-31,49,1365,0,-1,-2,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,52,1364,-1,1,-2,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,52,1364,-1,1,-2,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,52,1364,-1,1,-2,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-25,52,1362,-3,0,0,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-25,52,1362,-3,0,0,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1366,1,0,0,-117,641,-338,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1366,1,0,0,-117,644,-342,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1366,1,0,0,-117,644,-342,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1366,1,0,0,-117,644,-342,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-29,50,1366,1,0,0,-117,644,-342,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1365,-3,0,-1,-117,644,-342,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1365,-3,0,-1,-117,644,-342,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
-26,50,1365,-3,0,-1,-117,644,-342,265.44,-1.36,1.91,-1.08,90.12,15.47,40.3,0,0,0,0,
